topic,tier,session,signal,q,body,source,title,url,path
AI & Design,1,v2-overnight,9,1.00,6463,www.itsnicethat.com,Riz Ahmed’s new show Bait has a spy-spoof title sequence masterminded by Pentagr,https://www.itsnicethat.com/articles/luke-powell-jody-hudson-powell-bait-titles-graphic-design-project-200426,
Branding & Identity,1,v2-overnight,9,0.89,6014,www.pentagram.com,MoN Takanawa: The Museum of Narratives,https://www.pentagram.com/work/mon-takanawa-the-museum-of-narratives,
Layout & Grid,1,v2-overnight,9,0.89,6014,www.pentagram.com,MoN Takanawa: The Museum of Narratives,https://www.pentagram.com/work/mon-takanawa-the-museum-of-narratives,
AI & Design,1,v2-overnight,9,0.89,6014,www.pentagram.com,MoN Takanawa: The Museum of Narratives,https://www.pentagram.com/work/mon-takanawa-the-museum-of-narratives,
Branding & Identity,1,v2-overnight,9,1.00,5806,www.pentagram.com,St Paul’s Cathedral,https://www.pentagram.com/work/st-paul-s-cathedral,
Process & Studio,1,v2-overnight,9,1.00,5806,www.pentagram.com,St Paul’s Cathedral,https://www.pentagram.com/work/st-paul-s-cathedral,
AI & Design,1,v2-overnight,9,1.00,5806,www.pentagram.com,St Paul’s Cathedral,https://www.pentagram.com/work/st-paul-s-cathedral,
Branding & Identity,1,v2-overnight,9,1.00,5775,www.pentagram.com,Pentagram,https://www.pentagram.com/entertainment,
Typography & Type,1,v2-overnight,9,1.00,5775,www.pentagram.com,Pentagram,https://www.pentagram.com/entertainment,
AI & Design,1,v2-overnight,9,1.00,5775,www.pentagram.com,Pentagram,https://www.pentagram.com/entertainment,
Branding & Identity,1,v2-overnight,9,0.91,5586,www.pentagram.com,Work — Browse by type of client,https://www.pentagram.com/work,
Typography & Type,1,v2-overnight,9,0.91,5586,www.pentagram.com,Work — Browse by type of client,https://www.pentagram.com/work,
Editorial & Print,1,v2-overnight,9,0.91,5586,www.pentagram.com,Work — Browse by type of client,https://www.pentagram.com/work,
Branding & Identity,1,v2-overnight,9,0.96,5024,www.pentagram.com,Mosaic Rooms,https://www.pentagram.com/work/mosaic-rooms,
Photography,1,v2-overnight,9,0.96,5024,www.pentagram.com,Mosaic Rooms,https://www.pentagram.com/work/mosaic-rooms,
AI & Design,1,v2-overnight,9,0.96,5024,www.pentagram.com,Mosaic Rooms,https://www.pentagram.com/work/mosaic-rooms,
Branding & Identity,1,v2-overnight,9,1.00,5014,www.pentagram.com,Pentagram,https://www.pentagram.com/manufacturing-industrials,
Web & UI,1,v2-overnight,9,1.00,5014,www.pentagram.com,Pentagram,https://www.pentagram.com/manufacturing-industrials,
Color & Palette,1,v2-overnight,9,1.00,5014,www.pentagram.com,Pentagram,https://www.pentagram.com/manufacturing-industrials,
Typography & Type,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,Eye on Design &#8211; AIGA Eye on Design,https://eyeondesign.aiga.org/,
Color & Palette,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,Eye on Design &#8211; AIGA Eye on Design,https://eyeondesign.aiga.org/,
Branding & Identity,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,Eye on Design &#8211; AIGA Eye on Design,https://eyeondesign.aiga.org/,
Color & Palette,1,v2-overnight,8,0.94,8000,eyeondesign.aiga.org,"The ’80s Are Back, Baby &#8211; Eye on Design",https://eyeondesign.aiga.org/the-80s-are-back-baby/,
Typography & Type,1,v2-overnight,8,0.94,8000,eyeondesign.aiga.org,"The ’80s Are Back, Baby &#8211; Eye on Design",https://eyeondesign.aiga.org/the-80s-are-back-baby/,
Branding & Identity,1,v2-overnight,8,0.94,8000,eyeondesign.aiga.org,"The ’80s Are Back, Baby &#8211; Eye on Design",https://eyeondesign.aiga.org/the-80s-are-back-baby/,
Branding & Identity,1,v2-overnight,8,0.85,8000,eyeondesign.aiga.org,"Unconventional Sleep Aids Are in Vogue, and They’re Designed To Chill You Out &#",https://eyeondesign.aiga.org/food-and-beverage-packaging-is-getting-very-sleepy/,
AI & Design,1,v2-overnight,8,0.85,8000,eyeondesign.aiga.org,"Unconventional Sleep Aids Are in Vogue, and They’re Designed To Chill You Out &#",https://eyeondesign.aiga.org/food-and-beverage-packaging-is-getting-very-sleepy/,
Editorial & Print,1,v2-overnight,8,0.85,8000,eyeondesign.aiga.org,"Unconventional Sleep Aids Are in Vogue, and They’re Designed To Chill You Out &#",https://eyeondesign.aiga.org/food-and-beverage-packaging-is-getting-very-sleepy/,
AI & Design,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,Why Pay Transparency Matters in Job Negotiations &#8211; Eye on Design,https://eyeondesign.aiga.org/why-pay-transparency-matters-in-job-negotiations/,
Editorial & Print,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,Why Pay Transparency Matters in Job Negotiations &#8211; Eye on Design,https://eyeondesign.aiga.org/why-pay-transparency-matters-in-job-negotiations/,
Typography & Type,1,v2-overnight,8,0.96,8000,eyeondesign.aiga.org,Can Better Labels Really Fix Recycling? &#8211; Eye on Design,https://eyeondesign.aiga.org/can-better-labels-really-fix-recycling/,
Branding & Identity,1,v2-overnight,8,0.96,8000,eyeondesign.aiga.org,Can Better Labels Really Fix Recycling? &#8211; Eye on Design,https://eyeondesign.aiga.org/can-better-labels-really-fix-recycling/,
AI & Design,1,v2-overnight,8,0.96,8000,eyeondesign.aiga.org,Can Better Labels Really Fix Recycling? &#8211; Eye on Design,https://eyeondesign.aiga.org/can-better-labels-really-fix-recycling/,
Editorial & Print,1,v2-overnight,8,0.95,8000,eyeondesign.aiga.org,Tradeswomen Was the Magazine for Women in Blue-Collar Work During the ’80s and ’,https://eyeondesign.aiga.org/tradeswomen-was-the-magazine-for-women-in-blue-collar-work-during-the-80s-and-90s/,
Photography,1,v2-overnight,8,0.95,8000,eyeondesign.aiga.org,Tradeswomen Was the Magazine for Women in Blue-Collar Work During the ’80s and ’,https://eyeondesign.aiga.org/tradeswomen-was-the-magazine-for-women-in-blue-collar-work-during-the-80s-and-90s/,
AI & Design,1,v2-overnight,8,0.95,8000,eyeondesign.aiga.org,Tradeswomen Was the Magazine for Women in Blue-Collar Work During the ’80s and ’,https://eyeondesign.aiga.org/tradeswomen-was-the-magazine-for-women-in-blue-collar-work-during-the-80s-and-90s/,
Color & Palette,1,v2-overnight,8,0.94,8000,eyeondesign.aiga.org,How Cranbrook’s Design Program Redefined How We Make and Talk About Graphic Desi,https://eyeondesign.aiga.org/how-cranbrooks-design-program-redefined-how-we-make-and-talk-about-graphic-design/,
AI & Design,1,v2-overnight,8,0.94,8000,eyeondesign.aiga.org,How Cranbrook’s Design Program Redefined How We Make and Talk About Graphic Desi,https://eyeondesign.aiga.org/how-cranbrooks-design-program-redefined-how-we-make-and-talk-about-graphic-design/,
Editorial & Print,1,v2-overnight,8,0.94,8000,eyeondesign.aiga.org,How Cranbrook’s Design Program Redefined How We Make and Talk About Graphic Desi,https://eyeondesign.aiga.org/how-cranbrooks-design-program-redefined-how-we-make-and-talk-about-graphic-design/,
Editorial & Print,1,v2-overnight,8,0.95,8000,eyeondesign.aiga.org,"In the ’70s, the Dalit Panthers Made Pocket-Sized Magazines That Challenged Soci",https://eyeondesign.aiga.org/in-the-70s-the-dalit-panthers-made-pocket-sized-magazines-that-challenged-social-hierarchies-in-india/,
AI & Design,1,v2-overnight,8,0.95,8000,eyeondesign.aiga.org,"In the ’70s, the Dalit Panthers Made Pocket-Sized Magazines That Challenged Soci",https://eyeondesign.aiga.org/in-the-70s-the-dalit-panthers-made-pocket-sized-magazines-that-challenged-social-hierarchies-in-india/,
Minimalism,1,v2-overnight,8,0.95,8000,eyeondesign.aiga.org,"In the ’70s, the Dalit Panthers Made Pocket-Sized Magazines That Challenged Soci",https://eyeondesign.aiga.org/in-the-70s-the-dalit-panthers-made-pocket-sized-magazines-that-challenged-social-hierarchies-in-india/,
Typography & Type,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,Eye on Design &#8211; AIGA Eye on Design,https://eyeondesign.aiga.org/category/design/profile/,
Color & Palette,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,Eye on Design &#8211; AIGA Eye on Design,https://eyeondesign.aiga.org/category/design/profile/,
