session,classification,signal,q,body_total,source,topics,is_ai,title,url,path,body_head_240
v2-overnight,ACCEPTED,9,1.00,6873,www.pentagram.com,Branding & Identity|AI & Design|Editorial & Print,0,Pentagram,https://www.pentagram.com/arts-culture,,Pentagram Pentagram We design everything for everyone We design for Discipline Sector We design for Arts & Culture Showing the latest 27 projects Giorgia Lupi: Data Humanism at Gallerie d'Italia A nine room exhibition surveying two decades 
v2-overnight,ACCEPTED,9,1.00,5775,www.pentagram.com,Branding & Identity|Typography & Type|AI & Design,0,Pentagram,https://www.pentagram.com/entertainment,,Pentagram Pentagram We design everything for everyone We design for Discipline Sector We design for Entertainment Showing the latest 27 projects Live from New York: The Lorne Michaels Collection Exhibition and brand identity for the persona
v2-overnight,ACCEPTED,9,1.00,5014,www.pentagram.com,Branding & Identity|Web & UI|Color & Palette,0,Pentagram,https://www.pentagram.com/manufacturing-industrials,,Pentagram Pentagram We design everything for everyone We design for Discipline Sector We design for Manufacturing & Industrials Showing the latest 27 projects CONICAL Brand identity for the shipping container solution company. Manufacturing
v2-overnight,ACCEPTED,9,1.00,8000,www.pentagram.com,Color & Palette|Branding & Identity|AI & Design,0,Colin Forbes on the Structure of Pentagram,https://www.pentagram.com/news/colin-forbes-on-the-structure-of-pentagram,,"Colin Forbes on the Structure of Pentagram Pentagram Colin Forbes on the Structure of Pentagram Commentary — Mar 06, 2018 On the occasion of the 90th birthday of Pentagram co-founder Colin Forbes, we reprint his classic 1992 essay “Transiti"
v2-overnight,ACCEPTED,9,1.00,8000,eyeondesign.aiga.org,Color & Palette|Branding & Identity|AI & Design,0,“Epically Long”—How Pentagram Chooses Its New Partners &#8211; Eye on Design,https://eyeondesign.aiga.org/epically-long-how-pentagram-chooses-its-new-partners/,,“Epically Long”—How Pentagram Chooses Its New Partners – Eye on Design Search Related Articles Something Different “Epically Long”—How Pentagram Chooses Its New Partners Share: Twitter Facebook Pinterest Email Search Related Articles Someth
v2-overnight,ACCEPTED,9,1.00,8000,www.pentagram.com,Branding & Identity|Web & UI|AI & Design,0,Pentagram — The world’s largest independent design consultancy,https://www.pentagram.com,,"Pentagram — The world’s largest independent design consultancy Pentagram Isomorphic Labs Beautiful Symmetry: Pentagram’s new website for Isomorphic Labs creates a new visual language for digital biology. Mosaic Rooms New strategy, brand ide"
v2-overnight,ACCEPTED,9,1.00,7067,www.pentagram.com,Branding & Identity|Typography & Type|AI & Design,0,Live from New York: The Lorne Michaels Collection,https://www.pentagram.com/work/live-from-new-york-the-lorne-michaels-collection,,"Live from New York: The Lorne Michaels Collection Pentagram In January of 2025, Saturday Night Live creator Lorne Michaels donated his extensive personal collection to the Harry Ransom Center (HRC) at the suggestions of his friend Robert De"
v2-overnight,ACCEPTED,9,1.00,5806,www.pentagram.com,Branding & Identity|Process & Studio|AI & Design,0,St Paul’s Cathedral,https://www.pentagram.com/work/st-paul-s-cathedral,,"St Paul’s Cathedral Pentagram St Paul’s approached Pentagram to create a new visual identity to help it articulate its vision for the future: To inspire faith, welcome everyone and be a cathedral for London and the world. The design process"
v2-overnight,ACCEPTED,9,1.00,6463,www.itsnicethat.com,Branding & Identity|Typography & Type|AI & Design,0,Riz Ahmed’s new show Bait has a spy-spoof title sequence masterminded by Pentagram partners,https://www.itsnicethat.com/articles/luke-powell-jody-hudson-powell-bait-titles-graphic-design-project-200426,,"Riz Ahmed’s new show Bait has a spy-spoof title sequence masterminded by Pentagram partners Reading""Riz Ahmed’s new show Bait has..."" More fromWork Search Riz Ahmed’s new show Bait has a spy-spoof title sequence masterminded by Pentagram pa"
v2-overnight,ACCEPTED,9,1.00,8000,www.pentagram.com,Branding & Identity|Web & UI|AI & Design,0,Pentagram — The world’s largest independent design consultancy,http://www.pentagram.com/,,"Pentagram — The world’s largest independent design consultancy Pentagram Isomorphic Labs Beautiful Symmetry: Pentagram’s new website for Isomorphic Labs creates a new visual language for digital biology. Mosaic Rooms New strategy, brand ide"
v2-overnight,ACCEPTED,9,0.96,8000,eyeondesign.aiga.org,Movement & History|Process & Studio|Typography & Type,0,The 11 Types of Trendy Graphic Design Paul Rand Hated &#8211; Eye on Design,https://eyeondesign.aiga.org/the-11-types-of-trendy-graphic-design-paul-rand-hated/,,The 11 Types of Trendy Graphic Design Paul Rand Hated – Eye on Design Search Related Articles Something Different The 11 Types of Trendy Graphic Design Paul Rand Hated Share: Twitter Facebook Pinterest Email Search Related Articles Somethin
v2-overnight,ACCEPTED,9,0.96,8000,eyeondesign.aiga.org,Typography & Type|AI & Design|Editorial & Print,0,"Celebrating Söre Popitz, the Bauhaus’ Only Known Woman Graphic Designer &#8211; Eye on Design",https://eyeondesign.aiga.org/sore-popitz-meet-the-bauhauss-only-known-woman-graphic-designer/,,"Celebrating Söre Popitz, the Bauhaus’ Only Known Woman Graphic Designer – Eye on Design Search Related Articles Something Different Celebrating Söre Popitz, the Bauhaus’ Only Known Woman Graphic Designer Share: Twitter Facebook Pinterest Em"
v2-overnight,ACCEPTED,9,0.96,5024,www.pentagram.com,Branding & Identity|Photography|AI & Design,0,Mosaic Rooms,https://www.pentagram.com/work/mosaic-rooms,,"Mosaic Rooms Pentagram A platform for contemporary culture from the SWANA region, the Mosaic Rooms' newly refurbished space marked the move from privately funded initiative to public institution, becoming part of London’s rich cultural fabr"
v2-overnight,ACCEPTED,9,0.92,8000,eyeondesign.aiga.org,Color & Palette|AI & Design|Architecture & Brutalism,0,How Computer Code Became a Modern Design Medium—an Oral History &#8211; Eye on Design,https://eyeondesign.aiga.org/how-an-mit-research-group-turned-computer-code-into-a-modern-design-medium/,,How Computer Code Became a Modern Design Medium—an Oral History – Eye on Design Search Related Articles Something Different How Computer Code Became a Modern Design Medium—an Oral History Share: Twitter Facebook Pinterest Email Search Relat
v2-overnight,ACCEPTED,9,0.91,5586,www.pentagram.com,Branding & Identity|Typography & Type|Editorial & Print,0,Work — Browse by type of client,https://www.pentagram.com/work,,Work — Browse by type of client Pentagram We design everything for everyone We design for Discipline Sector We design for Work Showing the latest 40 projects Featured items IEEE Honors Ceremony 2026 A data storytelling animation celebrating
v2-overnight,ACCEPTED,9,0.90,8000,typographica.org,Typography & Type|Editorial & Print|Movement & History,0,Max Bill kontra Jan Tschichold: Der Typografiestreit der Moderne &#8211; Typographica,https://typographica.org/typography-books/max-bill-kontra-jan-tschichold-der-typographiestreit-der-moderne/,,Max Bill kontra Jan Tschichold: Der Typografiestreit der Moderne – Typographica Get a prominent ad at a reasonable rate. Support Typographica. Sponsor Nameplate set in Valnera and Pritzious by CAST Foundry. Your typeface could be next. Lear
v2-overnight,ACCEPTED,9,0.89,6014,www.pentagram.com,Branding & Identity|Layout & Grid|AI & Design,0,MoN Takanawa: The Museum of Narratives,https://www.pentagram.com/work/mon-takanawa-the-museum-of-narratives,,"MoN Takanawa: The Museum of Narratives Pentagram Play The strategic idea of dimensional time responds to MoN's circular curation — the understanding that while we experience time as linear, ideas, traditions and culture are not: they recur,"
v2-overnight,ACCEPTED,8,1.00,8000,webdesignerdepot.com,Web & UI|Editorial & Print|Photography,0,Compilation: 15 Hilarious Google Flops,https://webdesignerdepot.com/compilation-15-hilarious-google-flops/,,"Compilation: 15 Hilarious Google Flops AI & Tech Freelancing & Clients UX & Usability Visual & UI Design Web Development Compilations Compilation: 15 Hilarious Google Flops Even tech giants like Google stumble, with flops like Google+ and G"
v2-overnight,ACCEPTED,8,1.00,8000,typographica.org,Typography & Type|Process & Studio|Editorial & Print,0,A Grammar of Typography: Classical Book Design in the Digital Age &#8211; Typographica,https://typographica.org/typography-books/a-grammar-of-typography-classical-book-design-in-the-digital-age/,,A Grammar of Typography: Classical Book Design in the Digital Age – Typographica Get a prominent ad at a reasonable rate. Support Typographica. Sponsor Nameplate set in Valnera and Pritzious by CAST Foundry. Your typeface could be next. Lea
v2-overnight,ACCEPTED,8,1.00,8000,typographica.org,Typography & Type|Color & Palette|Editorial & Print,0,Just My Type: A Book About Fonts &#8211; Typographica,https://typographica.org/typography-books/just-my-type-a-book-about-fonts/,,"Just My Type: A Book About Fonts – Typographica Get a prominent ad at a reasonable rate. Support Typographica. Sponsor Nameplate set in Valnera and Pritzious by CAST Foundry. Your typeface could be next. Learn more. Publisher Gotham Books, "
v2-overnight,ACCEPTED,8,1.00,7999,typographica.org,Typography & Type|Layout & Grid|Editorial & Print,0,Our Favorite Typefaces&nbsp;of&nbsp;2004 &#8211; Typographica,https://typographica.org/on-typography/our-favorite-typefaces-of-2004/,,Our Favorite Typefaces of 2004 – Typographica Get a prominent ad at a reasonable rate. Support Typographica. Sponsor Nameplate set in Valnera and Pritzious by CAST Foundry. Your typeface could be next. Learn more. Our Favorite Typefaces of 
v2-overnight,ACCEPTED,8,1.00,6071,www.pentagram.com,Branding & Identity|Editorial & Print|Typography & Type,0,Work — Browse by type of client,https://www.pentagram.com/work?page=2,,Work — Browse by type of client Pentagram We design everything for everyone We design for Discipline Sector We design for Work Showing the latest 80 projects Featured items Super Peach Brand identity for the new upscale casual restaurant by
v2-overnight,ACCEPTED,8,1.00,8000,webdesignerdepot.com,Web & UI|Branding & Identity|AI & Design,0,Logo Design Trends for 2026: What I’m Actually Seeing (And What Most Designers Are Missing),https://webdesignerdepot.com/logo-design-trends-for-2026-what-im-actually-seeing-and-what-most-designers-are-missing/,,Logo Design Trends for 2026: What I’m Actually Seeing (And What Most Designers Are Missing) AI & Tech Freelancing & Clients UX & Usability Visual & UI Design Web Development Visual & UI Design Logo Design Trends for 2026: What I’m Actually 
v2-overnight,ACCEPTED,8,1.00,7999,webdesignerdepot.com,Web & UI|Layout & Grid|Typography & Type,0,Not Useless: Why Experimental Websites Matter More Than You Think,https://webdesignerdepot.com/not-useless-why-experimental-websites-matter-more-than-you-think/,,Not Useless: Why Experimental Websites Matter More Than You Think AI & Tech Freelancing & Clients UX & Usability Visual & UI Design Web Development Web Not Useless: Why Experimental Websites Matter More Than You Think The web isn’t dead—it’
v2-overnight,ACCEPTED,8,1.00,8000,webdesignerdepot.com,Web & UI|Typography & Type|AI & Design,0,The Great Transition: Why the Design World is Re-Evaluating Figma,https://webdesignerdepot.com/the-great-transition-why-the-design-world-is-re-evaluating-figma/,,The Great Transition: Why the Design World is Re-Evaluating Figma AI & Tech Freelancing & Clients UX & Usability Visual & UI Design Web Development Visual & UI Design The Great Transition: Why the Design World is Re-Evaluating Figma Is the 
v2-overnight,ACCEPTED,8,1.00,7858,webdesignerdepot.com,Web & UI|Color & Palette|Branding & Identity,0,10 New Year’s Resolutions Every Web Designer Will Definitely Break,https://webdesignerdepot.com/10-new-years-resolutions-every-web-designer-will-definitely-break/,,10 New Year’s Resolutions Every Web Designer Will Definitely Break AI & Tech Freelancing & Clients UX & Usability Visual & UI Design Web Development Funny 10 New Year’s Resolutions Every Web Designer Will Definitely Break Web designers make
v2-overnight,ACCEPTED,8,1.00,8000,eyeondesign.aiga.org,Branding & Identity|AI & Design|Process & Studio,0,Inside London’s Wolff Olins and Pentagram Studios &#8211; Eye on Design,https://eyeondesign.aiga.org/city-guides/london/inside-londons-wolff-olins-and-pentagram-studios/,,Inside London’s Wolff Olins and Pentagram Studios – Eye on Design Menu Social Chapter 9 Inside London’s Wolff Olins and Pentagram Studios We visit the offices of two of London’s leading design firms: Wolff Olins and Pentagram. Words by Emil
v2-overnight,ACCEPTED,8,1.00,8000,eyeondesign.aiga.org,Branding & Identity|AI & Design|Editorial & Print,0,"Michael Gericke on Maintaining Pentagram’s Rep, His Biggest Regrets + How He Nearly Became a “Ski Bu",https://eyeondesign.aiga.org/michael-gericke-on-maintaining-pentagrams-rep-his-biggest-regrets-how-he-nearly-became-a-ski-bum-instead/,,"Michael Gericke on Maintaining Pentagram’s Rep, His Biggest Regrets + How He Nearly Became a “Ski Bum” Instead of a Designer – Eye on Design Search Related Articles Something Different Michael Gericke on Maintaining Pentagram’s Rep, His Big"
v2-overnight,ACCEPTED,8,1.00,5319,www.pentagram.com,Web & UI|Typography & Type|Branding & Identity,0,Commentary,https://www.pentagram.com/news/category/commentary,,"Commentary Pentagram Latest news Commentary Jan 13, 2025 In Memory of Woody Pirtle, 1944-2025 The celebrated designer and former Pentagram partner has passed away at age 81. Commentary Dec 02, 2024 Performance.gov Paula Scher shares the pro"
v2-overnight,ACCEPTED,8,1.00,7477,www.itsnicethat.com,Branding & Identity|AI & Design|Process & Studio,0,Samar Maakaroun’s visual identity for The Mosaic Rooms challenges reductive narratives around Arab i,https://www.itsnicethat.com/articles/samar-maakaroun-the-mosaic-rooms-identity-graphic-design-project-060526,,"Samar Maakaroun’s visual identity for The Mosaic Rooms challenges reductive narratives around Arab identities Reading""Samar Maakaroun’s visual..."" More fromWork Search Samar Maakaroun’s visual identity for The Mosaic Rooms challenges reduct"
v2-overnight,ACCEPTED,8,0.99,8000,typographica.org,Typography & Type|Material & 3D|Editorial & Print,0,Size-specific Adjustments to Type Designs &#8211; Typographica,https://typographica.org/typography-books/size-specific-adjustments-to-type-designs/,,Size-specific Adjustments to Type Designs – Typographica Get a prominent ad at a reasonable rate. Support Typographica. Sponsor Nameplate set in Valnera and Pritzious by CAST Foundry. Your typeface could be next. Learn more. Publisher Just 
v2-overnight,ACCEPTED,8,0.97,5722,webdesignerdepot.com,Web & UI|Typography & Type|AI & Design,0,Why Every Web Designer Secretly Hates Their Past Work,https://webdesignerdepot.com/why-every-web-designer-secretly-hates-their-past-work/,,Why Every Web Designer Secretly Hates Their Past Work AI & Tech Freelancing & Clients UX & Usability Visual & UI Design Web Development Funny Why Every Web Designer Secretly Hates Their Past Work Every web designer cringes at their past wor
v2-overnight,ACCEPTED,8,0.97,8000,typographica.org,Typography & Type|Color & Palette,0,Our Favorite Typefaces of 2005 &#8211; Typographica,https://typographica.org/on-typography/our-favorite-typefaces-of-2005/,,Our Favorite Typefaces of 2005 – Typographica Get a prominent ad at a reasonable rate. Support Typographica. Sponsor Nameplate set in Valnera and Pritzious by CAST Foundry. Your typeface could be next. Learn more. Our Favorite Typefaces of 
v2-overnight,ACCEPTED,8,0.96,8000,eyeondesign.aiga.org,Typography & Type|Branding & Identity|AI & Design,0,Can Better Labels Really Fix Recycling? &#8211; Eye on Design,https://eyeondesign.aiga.org/can-better-labels-really-fix-recycling/,,Can Better Labels Really Fix Recycling? – Eye on Design Search Related Articles Something Different Can Better Labels Really Fix Recycling? Share: Twitter Facebook Pinterest Email Search Related Articles Something Different Search Menu Soci
v2-overnight,ACCEPTED,8,0.96,6117,typographica.org,Typography & Type|AI & Design|Architecture & Brutalism,0,ABC Laica &#8211; Typographica,https://typographica.org/typeface-reviews/laica/,,ABC Laica – Typographica Get a prominent ad at a reasonable rate. Support Typographica. Sponsor Nameplate set in Valnera and Pritzious by CAST Foundry. Your typeface could be next. Learn more. Designer Alessio D’Ellena Foundry Dinamo Classi
v2-overnight,ACCEPTED,8,0.95,7999,eyeondesign.aiga.org,Minimalism|Branding & Identity|AI & Design,0,"Tech Minimalism is Out. Welcome to the Squishy, Microbial World of the Biobrand &#8211; Eye on Desig",https://eyeondesign.aiga.org/tech-minimalism-is-out-welcome-to-the-squishy-microbial-world-of-the-biobrand/,,"Tech Minimalism is Out. Welcome to the Squishy, Microbial World of the Biobrand – Eye on Design Search Related Articles Something Different Tech Minimalism is Out. Welcome to the Squishy, Microbial World of the Biobrand Share: Twitter Faceb"
